Item,Image,Stock,Price
CEREALMOND Cookies & Cream - Malt Flake With White Chocolate And Cookies Bits 18g x 24,https://assets.jimatbiz.com/products/prd/c95025a1-cbc6-4c32-987c-92dce8a5a535,24,RM36.00
CEREALMOND Malt Flake Almond Chocolate 18g x 24,https://assets.jimatbiz.com/products/prd/788701cd-5e8d-4d79-9ab6-1fc2967ac718,24,RM36.00
CEREALMOND Malt Flake Hazelnut Milk Chocolate 18g x 24,https://assets.jimatbiz.com/products/prd/7defebb2-62ab-4d2d-8c3d-9884fa864b26,24,RM36.00
CEREALMOND Matcha - Malt Flake With Matcha Powder And White Chocolate 18g x 24,https://assets.jimatbiz.com/products/prd/7f37e9ec-7be9-4a12-b7f1-c73ede66d587,24,RM36.00
EUROCAKE Homestyle Muffin Chocolate Chips (60g x 48),https://assets.jimatbiz.com/products/prd/0deb50b4-d9b8-48ed-8010-be8494e8fc25,48,RM116.16
EUROCAKE Homestyle Muffin Double Chocolate (60g x 48),https://assets.jimatbiz.com/products/prd/1e93a85a-4f06-4fd6-b099-8487f56d3332,48,RM116.16
EUROCAKE Jumbo Croissant Butter (50g x 72),https://assets.jimatbiz.com/products/prd/c2481739-a9b6-40ed-9de8-4394ef9264fd,72,RM102.96
EUROCAKE Jumbo Croissant Custard (60g x 72),https://assets.jimatbiz.com/products/prd/6b68e0cd-43f3-4f4b-a328-73441f095fb3,72,RM102.96
EUROCAKE Jumbo Croissant Honey (60g x 72),https://assets.jimatbiz.com/products/prd/ed40f0db-c014-4cd9-a453-bb466e494f7e,72,RM102.96
NESTUM 3 in 1 Chocolate (28g x 15’s) x 24,https://assets.jimatbiz.com/products/prd/220a72b6-0544-4e20-965b-175c3142eebd,24,RM257.80
NESTUM 3 in 1 Honey (28g x 15’s) x 24,https://assets.jimatbiz.com/products/prd/bb8c911c-ffbf-4264-b7a3-f9227ea07e8a,24,RM257.80
NESTUM 3 in 1 Original (28g x 15) x 24,https://assets.jimatbiz.com/products/prd/25c69b81-e927-4c31-8a56-265ab6cff615,24,RM257.80
SO Pure Honey (500g x 24),https://assets.jimatbiz.com/products/prd/2aabfa28-def2-4397-b270-ac1957548fdf,24,RM168.00
HONEY STARS Cereal (18 x 300g),https://assets.jimatbiz.com/products/prd/054b3cac-70f2-498b-8481-6cfef050e5e0,18,RM182.70
KOKO KRUNCH Cereal (18 x 330g),https://assets.jimatbiz.com/products/prd/807d2113-1fd3-4d2d-ad93-d30e718543be,18,RM182.70
KOKO KRUNCH Cereal 18 x 330g,https://assets.jimatbiz.com/products/prd/ecb248d9-5fd6-4d97-bf56-d13e99084991,18,RM192.06
MILO Cereal (18 x 330g),https://assets.jimatbiz.com/products/prd/1acfb4e8-c165-44d9-82a9-8c95e9e062a0,18,RM182.70
LECKER Spread - Chocolate (200g x 12),https://assets.jimatbiz.com/products/prd/399ea35e-b23f-446e-919f-f3ad5e5e24c7,12,RM84.11
LECKER Spread - Hazelnut & Chocolate (200g x 12),https://assets.jimatbiz.com/products/prd/215ee394-27f7-40a2-a13f-445e8567ed36,12,RM99.79
LECKER Spread - Hazelnut & Chocolate (375g x 12),https://assets.jimatbiz.com/products/prd/8cc42398-dc20-4f0b-80e0-62c37bba4e18,12,RM171.07
LECKER Spread - Matcha (200g x 12),https://assets.jimatbiz.com/products/prd/5d305365-d3dd-41a3-8735-d7d3f4d410cf,12,RM156.82
LECKER Spread - Salted Caramel (200g x 12),https://assets.jimatbiz.com/products/prd/e28d1852-6fe5-4c4b-8f37-9f96c159650d,12,RM99.79
MASTURA Honey Plus (265ml x 12),https://assets.jimatbiz.com/products/prd/4beaa358-a12d-4af4-983b-afc7bb0e3ee8,12,RM94.20
MELLIFERA Honey Bear - Honey Stick (7g x 100),https://assets.jimatbiz.com/products/prd/328e8241-9f27-4c1c-91e1-574d27193f97,100,RM80.00
